Development_Start_Date,Purchased_Date,City,Locality,Property_Type,Developer_Name,Year_Of_Esablishment,CEO,Number_Of_Employees,Service_Amount,Rating,Investor_Name,CITY_Investors,sq_ft_cost,PURCHASE_AMOUNT,AREA_PURCHASED
21-Mar-11,09-Apr-11,KOLKATA,New Alipore,Commercial,Larsen & Toubro,1938,K.Venkataraman,6800,0.29,E,Forrest Hoeger,mumbai,5136,12338521,8284
02-Mar-11,21-Mar-11,KOLKATA,Salt Lake,Commercial,Larsen & Toubro,1938,K.Venkataraman,6800,0.29,E,Litzy Gleason III,delhi,4545,12463481,9456
01-Mar-11,20-Mar-11,KOLKATA,Dum Dum,Commercial,Larsen & Toubro,1938,K.Venkataraman,6800,0.29,E,Gracie Fisher,bangalore,2595,5446957,7238
13-Mar-11,01-Apr-11,KOLKATA,Tollygunge,Commercial,Larsen & Toubro,1938,K.Venkataraman,6800,0.29,E,Mia Collier,hyderabad,2937,5388044,6326
22-Mar-11,10-Apr-11,KOLKATA,Ballygunge,Commercial,Larsen & Toubro,1938,K.Venkataraman,6800,0.29,E,Hobart Hirthe,ahmedabad,7013,13744218,6758
30-Mar-11,18-Apr-11,KOLKATA,New Alipore,Residential,Larsen & Toubro,1938,K.Venkataraman,6800,0.29,E,Liliane Friesen IV,chennai,4852,7463152,5304
21-May-11,09-Jun-11,KOLKATA,Salt Lake,Residential,Larsen & Toubro,1938,K.Venkataraman,6800,0.29,E,Franz Von,kolkata,5372,15229835,9776
20-Jun-11,09-Jul-11,KOLKATA,Dum Dum,Residential,Larsen & Toubro,1938,K.Venkataraman,6800,0.29,E,Alexys Lockman,surat,3184,6039698,6541
22-Mar-11,10-Apr-11,KOLKATA,Tollygunge,Residential,Larsen & Toubro,1938,K.Venkataraman,6800,0.29,E,Dr. Zetta Schaefer,pune,2701,5058487,6458
17-Feb-11,08-Mar-11,KOLKATA,Ballygunge,Residential,Larsen & Toubro,1938,K.Venkataraman,6800,0.29,E,Brandy Bartell,jaipur,5824,15075657,8926
28-May-11,16-Jun-11,PUNE,Aundh,Commercial,Larsen & Toubro,1938,K.Venkataraman,6800,0.29,E,Margret Bahringer,lucknow,5863,10405652,6120
09-Oct-12,28-Oct-12,PUNE,Kalyani Nagar,Commercial,Larsen & Toubro,1938,K.Venkataraman,6800,0.29,E,Shawn Dicki,kanpur,6418,15427653,8289
11-Sep-12,30-Sep-12,PUNE,Hinjewadi,Commercial,GMR Group,1978,Gandhi Mallikarjuna Rao,1550,0.8,D,Lukas Nienow,nagpur,4429,19884438,5612
16-Dec-12,04-Jan-13,PUNE,Koregaon Park,Commercial,Arun Excello,1987,Sriram P,1255,0.15,E,Sandy Lindgren,indore,9306,7676054,5499
12-Oct-13,31-Oct-13,PUNE,Magarpatta,Commercial,Manjeera,1985,Yoganand,450,0.32,B,Llewellyn Crona,thane,7066,15022881,6644
26-Apr-11,15-May-11,PUNE,Aundh,Residential,Amrapalli Group,1973,Dr.Anil Kumar Sharma,1023,0.51,A,Sasha Runolfsdottir,bhopal,6669,29301252,8615
08-Jun-11,27-Jun-11,PUNE,Kalyani Nagar,Residential,Hiranandhani Developers,1980,Dr.RL Bhatia,1600,0.04,C,Jayne Friesen,vishakapatnam,7351,2537859,8631
29-Jun-11,18-Jul-11,PUNE,Hinjewadi,Residential,Jain Builders,2005,Mr.Sandheep Mehta,775,0.77,E,Madonna Stanton,pimpri-chinchwad,3518,21735893,8024
21-Mar-11,09-Apr-11,PUNE,Koregaon Park,Residential,Mantri Group,1999,Sushil Mantri,5464,0.94,D,Norberto Connelly,patna,7025,51051659,7731
29-May-13,17-Jun-13,PUNE,Magarpatta,Residential,DLF,1946,T.C.Goyal,7542,0.29,E,Nicklaus Lowe,vadodra,6472,13466614,7175
24-Apr-12,13-May-12,Chennai,T-Nagar,Commercial,Aaryan Estates,2006,Aryan Patel,5336,0.21,B,Frederique Lowe DVM,ghaziabad,13739,19610636,6797
25-Apr-12,14-May-12,Chennai,Anna Nagar,Commercial,Larsen & Toubro,1938,K.Venkataraman,6800,0.29,E,Rod Willms,ludhiana,32518,54110602,5738
22-Oct-11,10-Nov-11,Chennai,Adyar,Commercial,GMR Group,1978,Gandhi Mallikarjuna Rao,1550,0.8,D,Blair Runolfsdottir,agra,13177,75520022,7164
02-Dec-11,21-Dec-11,Chennai,Porur,Commercial,Arun Excello,1987,Sriram P,1255,0.15,E,Candace Feil,nashik,4959,5832528,7841
02-Jun-13,21-Jun-13,Chennai,OMR,Commercial,Manjeera,1985,Yoganand,450,0.32,B,Marge Kuhlman,faridabad,4303,7739892,5621
